0,1
Austria,1992f
Belgium,1992f
Cyprus,1992f
Denmark,1992f
Finland,1992f
France,1992f
Germany,1992f
Greece,1992f
Iceland,1992f
Ireland,1992f
Israel,1992f
Italy,1992f
Luxembourg,1992f
Malta,1992f
Netherlands,1992f
Norway,1992f
Portugal,1992f
Spain,1992f
Sweden,1992f
Switzerland,1992f
Turkey,1992f
United Kingdom,1992f
Yugoslavia,1992f
Austria,1993f
Belgium,1993f
Bosnia & Herzegovina,1993f
Croatia,1993f
Cyprus,1993f
Denmark,1993f
Finland,1993f
France,1993f
Germany,1993f
Greece,1993f
Iceland,1993f
Ireland,1993f
Israel,1993f
Italy,1993f
Luxembourg,1993f
Malta,1993f
Netherlands,1993f
Norway,1993f
Portugal,1993f
Slovenia,1993f
Spain,1993f
Sweden,1993f
Switzerland,1993f
Turkey,1993f
United Kingdom,1993f
Austria,1994f
Bosnia & Herzegovina,1994f
Croatia,1994f
Cyprus,1994f
Estonia,1994f
Finland,1994f
France,1994f
Germany,1994f
Greece,1994f
Hungary,1994f
Iceland,1994f
Ireland,1994f
Lithuania,1994f
Malta,1994f
Netherlands,1994f
Norway,1994f
Poland,1994f
Portugal,1994f
Romania,1994f
Russia,1994f
Slovakia,1994f
Spain,1994f
Sweden,1994f
Switzerland,1994f
United Kingdom,1994f
Austria,1995f
Belgium,1995f
Bosnia & Herzegovina,1995f
Croatia,1995f
Cyprus,1995f
Denmark,1995f
France,1995f
Germany,1995f
Greece,1995f
Hungary,1995f
Iceland,1995f
Ireland,1995f
Israel,1995f
Malta,1995f
Norway,1995f
Poland,1995f
Portugal,1995f
Russia,1995f
Slovenia,1995f
Spain,1995f
Sweden,1995f
Turkey,1995f
United Kingdom,1995f
Austria,1996f
Belgium,1996f
Bosnia & Herzegovina,1996f
Croatia,1996f
Cyprus,1996f
Estonia,1996f
Finland,1996f
France,1996f
Greece,1996f
Iceland,1996f
Ireland,1996f
Malta,1996f
Netherlands,1996f
Norway,1996f
Poland,1996f
Portugal,1996f
Slovakia,1996f
Slovenia,1996f
Spain,1996f
Sweden,1996f
Switzerland,1996f
Turkey,1996f
United Kingdom,1996f
Austria,1997f
Bosnia & Herzegovina,1997f
Croatia,1997f
Cyprus,1997f
Denmark,1997f
Estonia,1997f
France,1997f
Germany,1997f
Greece,1997f
Hungary,1997f
Iceland,1997f
Ireland,1997f
Italy,1997f
Malta,1997f
Netherlands,1997f
Norway,1997f
Poland,1997f
Portugal,1997f
Russia,1997f
Slovenia,1997f
Spain,1997f
Sweden,1997f
Switzerland,1997f
Turkey,1997f
United Kingdom,1997f
Belgium,1998f
Croatia,1998f
Cyprus,1998f
Estonia,1998f
F.Y.R. Macedonia,1998f
Finland,1998f
France,1998f
Germany,1998f
Greece,1998f
Hungary,1998f
Ireland,1998f
Israel,1998f
Malta,1998f
Netherlands,1998f
Norway,1998f
Poland,1998f
Portugal,1998f
Romania,1998f
Slovakia,1998f
Slovenia,1998f
Spain,1998f
Sweden,1998f
Switzerland,1998f
Turkey,1998f
United Kingdom,1998f
Austria,1999f
Belgium,1999f
Bosnia & Herzegovina,1999f
Croatia,1999f
Cyprus,1999f
Denmark,1999f
Estonia,1999f
France,1999f
Germany,1999f
Iceland,1999f
Ireland,1999f
Israel,1999f
Lithuania,1999f
Malta,1999f
Netherlands,1999f
Norway,1999f
Poland,1999f
Portugal,1999f
Slovenia,1999f
Spain,1999f
Sweden,1999f
Turkey,1999f
United Kingdom,1999f
Austria,2000f
Belgium,2000f
Croatia,2000f
Cyprus,2000f
Denmark,2000f
Estonia,2000f
F.Y.R. Macedonia,2000f
Finland,2000f
France,2000f
Germany,2000f
Iceland,2000f
Ireland,2000f
Israel,2000f
Latvia,2000f
Malta,2000f
Netherlands,2000f
Norway,2000f
Romania,2000f
Russia,2000f
Spain,2000f
Sweden,2000f
Switzerland,2000f
Turkey,2000f
United Kingdom,2000f
Bosnia & Herzegovina,2001f
Croatia,2001f
Denmark,2001f
Estonia,2001f
France,2001f
Germany,2001f
Greece,2001f
Iceland,2001f
Ireland,2001f
Israel,2001f
Latvia,2001f
Lithuania,2001f
Malta,2001f
Netherlands,2001f
Norway,2001f
Poland,2001f
Portugal,2001f
Russia,2001f
Slovenia,2001f
Spain,2001f
Sweden,2001f
Turkey,2001f
United Kingdom,2001f
Austria,2002f
Belgium,2002f
Bosnia & Herzegovina,2002f
Croatia,2002f
Cyprus,2002f
Denmark,2002f
Estonia,2002f
F.Y.R. Macedonia,2002f
Finland,2002f
France,2002f
Germany,2002f
Greece,2002f
Israel,2002f
Latvia,2002f
Lithuania,2002f
Malta,2002f
Romania,2002f
Russia,2002f
Slovenia,2002f
Spain,2002f
Sweden,2002f
Switzerland,2002f
Turkey,2002f
United Kingdom,2002f
Austria,2003f
Belgium,2003f
Bosnia & Herzegovina,2003f
Croatia,2003f
Cyprus,2003f
Estonia,2003f
France,2003f
Germany,2003f
Greece,2003f
Iceland,2003f
Ireland,2003f
Israel,2003f
Latvia,2003f
Malta,2003f
Netherlands,2003f
Norway,2003f
Poland,2003f
Portugal,2003f
Romania,2003f
Russia,2003f
Slovenia,2003f
Spain,2003f
Sweden,2003f
Turkey,2003f
Ukraine,2003f
United Kingdom,2003f
Albania,2004f
Austria,2004f
Belgium,2004f
Bosnia & Herzegovina,2004f
Croatia,2004f
Cyprus,2004f
F.Y.R. Macedonia,2004f
France,2004f
Germany,2004f
Greece,2004f
Iceland,2004f
Ireland,2004f
Malta,2004f
Netherlands,2004f
Norway,2004f
Poland,2004f
Romania,2004f
Russia,2004f
Serbia & Montenegro,2004f
Spain,2004f
Sweden,2004f
Turkey,2004f
Ukraine,2004f
United Kingdom,2004f
Albania,2005f
Bosnia & Herzegovina,2005f
Croatia,2005f
Cyprus,2005f
Denmark,2005f
F.Y.R. Macedonia,2005f
France,2005f
Germany,2005f
Greece,2005f
Hungary,2005f
Israel,2005f
Latvia,2005f
Malta,2005f
Moldova,2005f
