0,1
Armenia,2016f
Australia,2016f
Austria,2016f
Azerbaijan,2016f
Belgium,2016f
Bulgaria,2016f
Croatia,2016f
Cyprus,2016f
Czech Republic,2016f
France,2016f
Georgia,2016f
Germany,2016f
Hungary,2016f
Israel,2016f
Italy,2016f
Latvia,2016f
Lithuania,2016f
Malta,2016f
Netherlands,2016f
Poland,2016f
Russia,2016f
Serbia,2016f
Spain,2016f
Sweden,2016f
Ukraine,2016f
United Kingdom,2016f
Armenia,2017f
Australia,2017f
Austria,2017f
Azerbaijan,2017f
Belarus,2017f
Belgium,2017f
Bulgaria,2017f
Croatia,2017f
Cyprus,2017f
Denmark,2017f
France,2017f
Germany,2017f
Greece,2017f
Hungary,2017f
Israel,2017f
Italy,2017f
Moldova,2017f
Netherlands,2017f
Norway,2017f
Poland,2017f
Portugal,2017f
Romania,2017f
Spain,2017f
Sweden,2017f
Ukraine,2017f
United Kingdom,2017f
Albania,2018f
Australia,2018f
Austria,2018f
Bulgaria,2018f
Cyprus,2018f
Czech Republic,2018f
Denmark,2018f
Estonia,2018f
Finland,2018f
France,2018f
Germany,2018f
Hungary,2018f
Ireland,2018f
Israel,2018f
Italy,2018f
Lithuania,2018f
Moldova,2018f
Netherlands,2018f
Norway,2018f
Portugal,2018f
Serbia,2018f
Slovenia,2018f
Spain,2018f
Sweden,2018f
Ukraine,2018f
United Kingdom,2018f
Albania,2019f
Australia,2019f
Azerbaijan,2019f
Belarus,2019f
Cyprus,2019f
Czech Republic,2019f
Denmark,2019f
Estonia,2019f
France,2019f
Germany,2019f
Greece,2019f
Iceland,2019f
Israel,2019f
Italy,2019f
Malta,2019f
Netherlands,2019f
North Macedonia,2019f
Norway,2019f
Russia,2019f
San Marino,2019f
Serbia,2019f
Slovenia,2019f
Spain,2019f
Sweden,2019f
Switzerland,2019f
United Kingdom,2019f
Albania,2021f
Azerbaijan,2021f
Belgium,2021f
Bulgaria,2021f
Cyprus,2021f
Finland,2021f
France,2021f
Germany,2021f
Greece,2021f
Iceland,2021f
Israel,2021f
Italy,2021f
Lithuania,2021f
Malta,2021f
Moldova,2021f
Netherlands,2021f
Norway,2021f
Portugal,2021f
Russia,2021f
San Marino,2021f
Serbia,2021f
Spain,2021f
Sweden,2021f
Switzerland,2021f
Ukraine,2021f
United Kingdom,2021f
Armenia,2022f
Australia,2022f
Azerbaijan,2022f
Belgium,2022f
Czech Republic,2022f
Estonia,2022f
Finland,2022f
France,2022f
Germany,2022f
Greece,2022f
Iceland,2022f
Italy,2022f
Lithuania,2022f
Moldova,2022f
Netherlands,2022f
Norway,2022f
Poland,2022f
Portugal,2022f
Romania,2022f
Serbia,2022f
Spain,2022f
Sweden,2022f
Switzerland,2022f
Ukraine,2022f
United Kingdom,2022f
