,2016f,2017f,2018f,2019f,2020f,2021f,2022f
Austria,True,True,True,True,False,True,True
Belgium,True,True,True,True,False,True,True
Denmark,True,True,True,True,False,True,True
France,True,True,True,True,False,True,True
Germany,True,True,True,True,False,True,True
Italy,True,True,True,True,False,True,True
Luxembourg,False,False,False,False,False,False,False
Switzerland,True,True,True,True,False,True,True
Netherlands,True,True,True,True,False,True,True
United Kingdom,True,True,True,True,False,True,True
Sweden,True,True,True,True,False,True,True
Monaco,False,False,False,False,False,False,False
Norway,True,True,True,True,False,True,True
Finland,True,True,True,True,False,True,True
Spain,True,True,True,True,False,True,True
Yugoslavia,False,False,False,False,False,False,False
Portugal,False,True,True,True,False,True,True
Ireland,True,True,True,True,False,True,True
Malta,True,True,True,True,False,True,True
Israel,True,True,True,True,False,True,True
Greece,True,True,True,True,False,True,True
Turkey,False,False,False,False,False,False,False
Morocco,False,False,False,False,False,False,False
Cyprus,True,True,True,True,False,True,True
Iceland,True,True,True,True,False,True,True
Bosnia & Herzegovina,True,False,False,False,False,False,False
Croatia,True,True,True,True,False,True,True
Slovenia,True,True,True,True,False,True,True
Estonia,True,True,True,True,False,True,True
Hungary,True,True,True,True,False,False,False
Lithuania,True,True,True,True,False,True,True
Poland,True,True,True,True,False,True,True
Romania,False,True,True,True,False,True,True
Russia,True,False,True,True,False,True,False
Slovakia,False,False,False,False,False,False,False
F.Y.R. Macedonia,True,True,True,False,False,False,False
Latvia,True,True,True,True,False,True,True
Ukraine,True,True,True,False,False,True,True
Albania,True,True,True,True,False,True,True
Andorra,False,False,False,False,False,False,False
Belarus,True,True,True,True,False,False,False
Serbia & Montenegro,False,False,False,False,False,False,False
Bulgaria,True,True,True,False,False,True,True
Moldova,True,True,True,True,False,True,True
Armenia,True,True,True,True,False,False,True
Czech Republic,True,True,True,True,False,True,True
Georgia,True,True,True,True,False,True,True
Montenegro,True,True,True,True,False,False,True
Serbia,True,True,True,True,False,True,True
Azerbaijan,True,True,True,True,False,True,True
San Marino,True,True,True,True,False,True,True
Australia,True,True,True,True,False,True,True
Macedonia,False,False,False,False,False,False,False
North Macedonia,False,False,False,True,False,True,True
Rest of the world,False,False,False,False,False,False,False
Rest of the World,False,False,False,False,False,False,False
